"","Species.Pop","HighestTrait","lat","lon","maxtemp","tolerance_point","tolerance_lower","tolerance_upper"
"1","Aedes_aegypti","BitingRate","-3.22","40.07","33.7997134676059","6.20028653239407","6.20028653239407","6.60028653239407"
"2","Aedes_aegypti","BitingRate","-4.27","15.3","34.6282687391096","5.37173126089045","5.37173126089045","5.77173126089045"
"3","Aedes_aegypti","BitingRate","-3.04","40.14","33.7996064606387","6.20039353936128","6.20039353936128","6.60039353936128"
"4","Aedes_aegypti","BitingRate","0.18","32.5","33.7994919607738","6.20050803922624","6.20050803922624","6.60050803922624"
"5","Aedes_aegypti","BitingRate","4.63","-74.09","33.7887810507053","6.21121894929475","6.21121894929475","6.61121894929475"
"6","Aedes_aegypti","BitingRate","4.64","9.44","35.6136265907354","4.38637340926462","4.38637340926462","4.78637340926462"
"7","Aedes_aegypti","BitingRate","1.28","103.84","33.7999651276738","6.20003487232619","6.20003487232619","6.60003487232618"
"8","Aedes_aegypti","BitingRate","1.28","103.83","33.7995713640794","6.20042863592056","6.20042863592056","6.60042863592056"
"9","Aedes_aegypti","BitingRate","1.28","103.85","33.7999957680372","6.20000423196283","6.20000423196283","6.60000423196283"
"10","Aedes_aegypti","BitingRate","1.29","103.82","33.7996225408386","6.20037745916144","6.20037745916144","6.60037745916144"
"11","Aedes_aegypti","BitingRate","1.3","103.86","33.7999615593452","6.20003844065476","6.20003844065476","6.60003844065476"
"12","Aedes_aegypti","BitingRate","1.32","103.88","33.7998828496479","6.2001171503521","6.2001171503521","6.6001171503521"
"13","Aedes_aegypti","BitingRate","1.32","103.86","33.7997155448796","6.20028445512044","6.20028445512044","6.60028445512044"
"14","Aedes_aegypti","BitingRate","1.33","103.9","33.799872638019","6.20012736198099","6.20012736198099","6.60012736198099"
"15","Aedes_aegypti","BitingRate","1.33","103.93","33.7992226456064","6.20077735439355","6.20077735439355","6.60077735439355"
"16","Aedes_aegypti","BitingRate","1.28","103.82","33.7997055719683","6.20029442803173","6.20029442803173","6.60029442803173"
"17","Aedes_aegypti","BitingRate","1.31","103.89","33.799822769079","6.20017723092104","6.20017723092104","6.60017723092104"
"18","Aedes_aegypti","BitingRate","1.31","103.85","33.7999419609181","6.20005803908194","6.20005803908194","6.60005803908194"
"19","Aedes_aegypti","BitingRate","1.32","103.85","33.7996882164389","6.2003117835611","6.2003117835611","6.6003117835611"
"20","Aedes_aegypti","BitingRate","1.55","110.34","33.8051517511097","6.19484824889027","6.19484824889027","6.59484824889027"
"21","Aedes_aegypti","BitingRate","4.25","117.88","33.7999625281687","6.20003747183129","6.20003747183129","6.60003747183129"
"22","Aedes_aegypti","BitingRate","4.4","113.98","33.7999649405301","6.20003505946988","6.20003505946988","6.60003505946987"
"23","Aedes_aegypti","BitingRate","4.47","118.6","33.799990734979","6.20000926502102","6.20000926502102","6.60000926502102"
"24","Aedes_aegypti","BitingRate","5","118","33.8987598931099","6.10124010689007","6.10124010689007","6.50124010689007"
"25","Aedes_aegypti","BitingRate","-3.75","39.82","33.7997471339784","6.20025286602158","6.20025286602158","6.60025286602158"
"26","Aedes_aegypti","BitingRate","-3.62","30.58","33.7995905241594","6.20040947584057","6.20040947584057","6.60040947584056"
"27","Aedes_aegypti","BitingRate","-0.5","30.5","33.7984999040406","6.2015000959594","6.2015000959594","6.6015000959594"
"28","Aedes_aegypti","BitingRate","-0.4","31.15","33.7997845869172","6.20021541308279","6.20021541308279","6.60021541308279"
"29","Aedes_aegypti","BitingRate","-0.34","31.73","33.7994660259576","6.2005339740424","6.2005339740424","6.6005339740424"
"30","Aedes_aegypti","BitingRate","0.32","32.58","33.79803759189","6.20196240811","6.20196240811","6.60196240811"
"31","Aedes_aegypti","BitingRate","0.71","30.05","33.7996180120537","6.20038198794627","6.20038198794627","6.60038198794627"
