Species.Pop	latitdue	longitude
Aedes_aegypti	-13.29	-176.22
Aedes_aegypti	-13.88	-171.63
Aedes_aegypti	-14.93	-147.71
Aedes_aegypti	-6.51	-76.38
Aedes_aegypti	-13.34	-70.75
Aedes_aegypti	-9.96	-67.8
Aedes_aegypti	-8.75	-63.91
Aedes_aegypti	-12.74	-60.15
Aedes_aegypti	-11.81	-42.61
Aedes_aegypti	-7.23	-39.41
Aedes_aegypti	-10.69	-37.42
Aedes_aegypti	-9.67	-35.74
Aedes_aegypti	-8.81	13.23
Aedes_aegypti	-8.97	36.3
Aedes_aegypti	-6.82	39.28
Aedes_aegypti	-12.25	44.41
Aedes_aegypti	-11.57	47.29
Aedes_aegypti	-6.16	106.81
Aedes_aegypti	-6.76	108.55
Aedes_aegypti	-7.26	112.72
Aedes_aegypti	-5.51	119.94
Aedes_aegypti	-8.33	123.25
Aedes_aegypti	-10.58	142.22
Aedes_aegypti	-9.92	144.05
Aedes_aegypti	-9.58	160.15
Aedes_aegypti	-8.51	179.19
Aedes_aegypti	-21.15	-175.22
Aedes_aegypti	-21.23	-159.77
Aedes_aegypti	-16.84	-151.48
Aedes_aegypti	-15.12	-148.23
Aedes_aegypti	-17.01	-65.46
Aedes_aegypti	-22.53	-63.81
Aedes_aegypti	-18.34	-59.6
Aedes_aegypti	-15.65	-56.14
Aedes_aegypti	-20.44	-54.62
Aedes_aegypti	-23.08	-52.46
Aedes_aegypti	-21.4	-50.06
Aedes_aegypti	-20.56	-48.57
Aedes_aegypti	-23.5	-46.72
Aedes_aegypti	-21.21	-44.82
Aedes_aegypti	-22.89	-42.04
Aedes_aegypti	-20.24	-40.37
Aedes_aegypti	-15.85	-38.9
Aedes_aegypti	-21.05	31.67
Aedes_aegypti	-20.3	44.27
Aedes_aegypti	-20.53	47.24
Aedes_aegypti	-18.13	49.39
Aedes_aegypti	-19.55	134.23
Aedes_aegypti	-22.91	139.91
Aedes_aegypti	-20.66	141.75
Aedes_aegypti	-20.85	144.2
Aedes_aegypti	-19.28	146.82
Aedes_aegypti	-20.01	148.25
Aedes_aegypti	-23.12	150.74
Aedes_aegypti	-24.88	152.35
Aedes_aegypti	-21.4	165.82
Aedes_aegypti	-15.51	167.21
Aedes_aegypti	-17.61	177.46
Aedes_aegypti	-29.42	-66.85
Aedes_aegypti	-26.93	-65.27
Aedes_aegypti	-31.47	-64.13
Aedes_aegypti	-32.41	-63.26
Aedes_aegypti	-31.25	-61.48
Aedes_aegypti	-26.92	-60.05
Aedes_aegypti	-34.09	-59.04
Aedes_aegypti	-34.87	-58.07
Aedes_aegypti	-25.37	-57.6
Aedes_aegypti	-34.9	-56.17
Aedes_aegypti	-27.35	-55.85
Aedes_aegypti	-25.61	-54.58
Aedes_aegypti	-28.39	-53.91
Aedes_aegypti	-30.03	-51.2
Aedes_aegypti	-25.98	27.55
Aedes_aegypti	-30.77	30.43
Aedes_aegypti	-28.75	31.89
Aedes_aegypti	-26.92	32.25
Aedes_aegypti	-25.02	46.98
Aedes_aegypti	-31.86	115.75
Aedes_aegypti	-26.4	146.23
Aedes_aegypti	-26.57	148.79
Aedes_aegypti	-25.64	149.79
Aedes_aegypti	-26.73	150.62
Aedes_aegypti	-25.62	151.6
Aedes_aegypti	-26.19	152.07
Aedes_aegypti	-38.95	-68.05
Aedes_aegypti	-36.09	-57.81
Aedes_aegypti	-3.48	-80.26
Aedes_aegypti	3.88	-77.04
Aedes_aegypti	2.93	-75.29
Aedes_aegypti	-3.75	-73.27
Aedes_aegypti	-3.91	-70.93
Aedes_aegypti	-4.1	-63.12
Aedes_aegypti	-3.11	-59.99
Aedes_aegypti	4.91	-52.28
Aedes_aegypti	-0.16	-50.38
Aedes_aegypti	-4.3	-47.56
Aedes_aegypti	-3.38	-43.11
Aedes_aegypti	-3.69	-40.38
Aedes_aegypti	0.4	9.48
Aedes_aegypti	3.87	11.52
Aedes_aegypti	-1.63	13.6
Aedes_aegypti	-4.31	15.32
Aedes_aegypti	-0.18	29.9
Aedes_aegypti	-0.34	31.73
Aedes_aegypti	-0.1	34.75
Aedes_aegypti	-0.67	37.35
Aedes_aegypti	-3.93	39.55
Aedes_aegypti	1.65	44.67
Aedes_aegypti	3.58	98.66
Aedes_aegypti	3.16	101.71
Aedes_aegypti	1.32	103.85
Aedes_aegypti	-4.66	105.71
