Species.Pop,HighestTrait,lat,lon,maxtemp_point,maxtemp_lower,maxtemp_upper,maxtemp_NoB_point,maxtemp_NoB_lower,maxtemp_NoB_upper,tolerance_point,tolerance_lower,tolerance_upper,tolerance_NoB_point,tolerance_NoB_lower,tolerance_NoB_upper,tolerance_Tpref_point,tolerance_Tpref_lower,tolerance_Tpref_upper,numhours_point,numhours_lower,numhours_upper,numhours_NoB_point,numhours_NoB_lower,numhours_NoB_upper,streak_point,streak_lower,streak_upper,streak_NoB_point,streak_NoB_lower,streak_NoB_upper,streak_days_point,streak_days_lower,streak_days_upper,streak_days_nob_point,streak_days_nob_lower,streak_days_nob_upper,AdultLifespan,maxtemp_point2,maxtemp_lower2,maxtemp_upper2,maxtemp_NoB_point2,maxtemp_NoB_lower2,maxtemp_NoB_upper2,tolerance_point2,tolerance_lower2,tolerance_upper2,tolerance_NoB_point2,tolerance_NoB_lower2,tolerance_NoB_upper2,tolerance_Tpref_point2,tolerance_Tpref_lower2,tolerance_Tpref_upper2,numhours_point2,numhours_lower2,numhours_upper2,numhours_NoB_point2,numhours_NoB_lower2,numhours_NoB_upper2,streak_point2,streak_lower2,streak_upper2,streak_NoB_point2,streak_NoB_lower2,streak_NoB_upper2,streak_days_point2,streak_days_lower2,streak_days_upper2,streak_days_nob_point2,streak_days_nob_lower2,streak_days_nob_upper2,elevation,ScaledTSM,BIOME
Aedes_aegypti,BitingRate,-13.88,-171.63,"33.79765987","32.98413765","34.27802671","35.78045935","35.78046766","35.78045935","6.202340133","7.015862355","6.121973294","4.219540647","4.219532343","4.619540647","9.120913368","9.120913368","9.10020381","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"30.87908663","30.87908663","30.87908663","35.78046766","35.78046766","35.78046766","6.570913368","4.020913368","9.120913368","1.669532343","-0.880467657","4.219532343","6.570913368","4.020913368","9.120913368","0","0","0","0","1","0",,,,,"1",,,,,,"1",,"9","0.697726186205246",1.00000000000
Aedes_aegypti,BitingRate,-14.93,-147.71,"32.48696343","32.48696343","32.48696343","32.48696343","32.48696343","32.48696343","7.513036567","7.513036567","7.913036567","7.513036567","7.513036567","7.913036567","9.201279365","9.500108099","9.133918139","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"30.4998919","30.4998919","30.4998919","32.0125094","32.0125094","32.0125094","6.950108099","4.400108099","9.500108099","5.437490599","2.887490599","7.987490599","6.950108099","4.400108099","9.500108099","0","0","0","0","0","0",,,,,,,,,,,,,"0","0.714142605225777",1.00000000000
Aedes_aegypti,BitingRate,-6.51,-76.38,"35.44237719","35.44237719","35.44237719","37.17237732","37.17237732","37.17237732","4.557622813","4.557622813","4.957622813","2.827622684","2.827622684","3.227622684","4.557622813","4.557622813","4.957622813","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"35.44237719","35.44237719","35.44237719","37.17237732","37.17237732","37.17237732","2.007622813","-0.542377187","4.557622813","0.277622684","-2.272377316","2.827622684","2.007622813","-0.542377187","4.557622813","0","3","0","0","75","0",,"2",,,"5",,,"2",,,"3",,"242","0.50016835182882",1.00000000000
Aedes_aegypti,BitingRate,-13.34,-70.75,"25.92924825","25.92924825","25.92924825","25.92924825","25.92924825","25.92924825","14.07075175","14.07075175","14.47075175","14.07075175","14.07075175","14.47075175","14.07075175","14.07075175","14.47075175","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"23.89701354","22.96381172","25.5267107","25.52671069","25.52671069","25.5267107","13.55298646","11.93618828","14.4732893","11.92328931","9.373289308","14.4732893","14.48618828","11.93618828","17.03618828","0","0","0","0","0","0",,,,,,,,,,,,,"1465","1",1.00000000000
Aedes_aegypti,BitingRate,-9.96,-67.8,"36.67005271","36.67005271","36.67005271","39.15932067","39.15932067","39.15932067","3.329947293","3.329947293","3.729947293","0.840679332","0.840679332","1.240679332","3.329947293","3.329947293","3.729947293","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"36.67005271","36.67005271","36.67005271","39.15932067","39.15932067","39.15932067","0.779947293","-1.770052707","3.329947293","-1.709320668","-4.259320668","0.840679332","0.779947293","-1.770052707","3.329947293","0","52","0","49","344","0",,"5",,"5","7",,,"3",,"3","15",,"137","0.447018784838745",1.00000000000
Aedes_aegypti,BitingRate,-8.75,-63.91,"37.77328428","37.77328428","37.77328428","41.81415609","41.81415609","41.81415609","2.22671572","2.22671572","2.62671572","-1.814156087","-1.814156087","-1.414156087","2.22671572","2.22671572","2.62671572","0","0","0","20","20","11",,,,"4","4","3",,,,"2","2","2",AdultLifespan,"37.77328428","37.77328428","37.77328428","41.81415609","41.81415609","41.81415609","-0.32328428","-2.87328428","2.22671572","-4.364156087","-6.914156087","-1.814156087","-0.32328428","-2.87328428","2.22671572","1","96","0","156","531","20","1","6",,"6","7","4","1","6",,"20","28","2","83","0.399256750457926",1.00000000000
Aedes_aegypti,BitingRate,-12.74,-60.15,"35.18322261","35.18322261","35.18322261","39.69333143","39.6933313","39.69333143","4.816777394","4.816777393","5.216777394","0.306668571","0.306668702","0.706668571","4.816777393","4.816777393","5.216777393","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"35.18322261","35.18322261","35.18322261","39.6933313","39.6933313","39.6933313","2.266777393","-0.283222607","4.816777393","-2.243331298","-4.793331298","0.306668702","2.266777393","-0.283222607","4.816777393","0","2","0","29","160","0",,"2",,"5","7",,,"1",,"3","16",,"592","0.511387891101294",7.00000000000
Aedes_aegypti,BitingRate,-11.81,-42.61,"36.87092316","36.87092316","36.87092316","41.12862828","41.12862828","41.12862828","3.129076841","3.129076841","3.529076841","-1.128628285","-1.128628285","-0.728628285","3.129076841","3.129076841","3.529076841","0","0","0","7","7","3",,,,"2","2","1",,,,"2","2","2",AdultLifespan,"36.87092316","36.87092316","36.87092316","41.12862828","41.12862828","41.12862828","0.579076841","-1.970923159","3.129076841","-3.678628285","-6.228628285","-1.128628285","0.579076841","-1.970923159","3.129076841","0","12","0","144","508","7",,"6",,"5","7","2",,"2",,"11","21","2","705","0.43832253133285",13.00000000000
Aedes_aegypti,BitingRate,-7.23,-39.41,"38.01688102","38.01688102","38.01688102","41.78456764","41.78456764","41.78456764","1.983118976","1.983118976","2.383118976","-1.784567643","-1.784567643","-1.384567643","1.983118976","1.983118976","2.383118976","0","0","0","51","51","23",,,,"4","4","4",,,,"3","3","2",AdultLifespan,"38.01688102","38.01688102","38.01688102","41.78456764","41.78456764","41.78456764","-0.566881024","-3.116881024","1.983118976","-4.334567643","-6.884567643","-1.784567643","-0.566881024","-3.116881024","1.983118976","10","472","0","360","822","51","5","7",,"6","7","4","1","27",,"27","45","3","421","0.388710754180512",13.00000000000
Aedes_aegypti,BitingRate,-10.69,-37.42,"34.83527306","34.83527306","34.83527306","38.23201194","38.23201194","38.23201194","5.164726936","5.164726936","5.564726936","1.767988057","1.767988057","2.167988057","5.164726936","5.164726936","5.564726936","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"34.83527306","34.83527306","34.83527306","38.23201194","38.23201194","38.23201194","2.614726936","0.064726936","5.164726936","-0.782011943","-3.332011943","1.767988057","2.614726936","0.064726936","5.164726936","0","0","0","2","31","0",,,,"2","4",,,,,"1","3",,"182","0.526451617015488",13.00000000000
