VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,LongitudeF,Longitude,Latitude,elevation,elev_units
Aedes aegypti,4720,published,point,-999,2010,Argentina,ARG,12,-68,-68.05,-38.95,281,meters
Aedes aegypti,5048,published,point,-999,2012,Argentina,ARG,12,-57,-57.81,-36.09,12,meters
Aedes aegypti,9560,published,point,-999,,Argentina,ARG,12,-66,-66.85,-29.42,504,meters
Aedes aegypti,4133,published,point,-999,2008,Argentina,ARG,12,-65,-65.27,-26.93,388,meters
Aedes aegypti,1506,published,point,-999,1996,Argentina,ARG,12,-64,-64.13,-31.47,413,meters
Aedes aegypti,1503,published,point,-999,1996,Argentina,ARG,12,-63,-63.26,-32.41,208,meters
Aedes aegypti,4130,published,point,-999,2008,Argentina,ARG,12,-61,-61.48,-31.25,99,meters
Aedes aegypti,9582,published,point,-999,,Argentina,ARG,12,-60,-60.05,-26.92,84,meters
Aedes aegypti,1502,published,point,-999,1996,Argentina,ARG,12,-59,-59.04,-34.09,19,meters
Aedes aegypti,4721,published,point,-999,2010,Argentina,ARG,12,-58,-58.07,-34.87,12,meters
Aedes aegypti,3717,published,point,-999,2007,Paraguay,PRY,194,-57,-57.6,-25.37,119,meters
Aedes aegypti,3707,published,point,-999,2007,Uruguay,URY,260,-56,-56.17,-34.9,35,meters
Aedes aegypti,9580,published,point,-999,,Paraguay,PRY,194,-55,-55.85,-27.35,96,meters
Aedes aegypti,3448,published,point,-999,2006,Argentina,ARG,12,-54,-54.58,-25.61,177,meters
Aedes aegypti,2994,published,point,-999,2004,Brazil,BRA,37,-53,-53.91,-28.39,337,meters
Aedes aegypti,2467,published,point,-999,2002,Brazil,BRA,37,-51,-51.2,-30.03,25,meters
Aedes aegypti,1076,published,point,-999,1991,South Africa,ZAF,1013965,27,27.55,-25.98,1453,meters
Aedes aegypti,1071,published,point,-999,1991,South Africa,ZAF,1013965,30,30.43,-30.77,45,meters
Aedes aegypti,9563,published,point,-999,,South Africa,ZAF,1013965,31,31.89,-28.75,102,meters
Aedes aegypti,1075,published,point,-999,1991,South Africa,ZAF,1013965,32,32.25,-26.92,76,meters
Aedes aegypti,9603,published,point,-999,,Madagascar,MDG,150,46,46.98,-25.02,68,meters
Aedes aegypti,1968,published,point,-999,1999,Australia,AUS,17,115,115.75,-31.86,18,meters
Aedes aegypti,9587,published,point,-999,,Australia,AUS,17,146,146.23,-26.4,301,meters
Aedes aegypti,1140,published,point,-999,1992,Australia,AUS,17,148,148.79,-26.57,307,meters
Aedes aegypti,9594,published,point,-999,,Australia,AUS,17,149,149.79,-25.64,189,meters
Aedes aegypti,9585,published,point,-999,,Australia,AUS,17,150,150.62,-26.73,308,meters
