VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,LongitudeF,Longitude,Latitude,elevation,elev_units
Aedes albopictus,40880,published,point,-999,1998,Argentina,ARG,12,-54,-54.58,-26.41,221,meters
Aedes albopictus,40714,published,point,-999,1998,Argentina,ARG,12,-53,-53.74,-26.06,526,meters
Aedes albopictus,40834,published,point,-999,,Brazil,BRA,37,-53,-53.93,-27.46,411,meters
Aedes albopictus,40688,published,point,-999,1996,Brazil,BRA,37,-49,-49.23,-25.45,904,meters
Aedes albopictus,40835,published,point,-999,,Brazil,BRA,37,-49,-49.1,-26.92,60,meters
Aedes albopictus,40773,published,point,-999,2001,Brazil,BRA,37,-48,-48.53,-26.21,10,meters
Aedes albopictus,40741,published,point,-999,,Brazil,BRA,37,-48,-48.86,-26.32,24,meters
Aedes albopictus,41560,published,point,-999,2008,Brazil,BRA,37,-48,-48.51,-27.53,54,meters
Aedes albopictus,40833,published,point,-999,,Brazil,BRA,37,-48,-48.54,-27.6,30,meters
Aedes albopictus,40590,published,point,-999,1989,South Africa,ZAF,1013965,18,18.44,-33.93,197,meters
Aedes albopictus,39979,published,point,-999,1984,Madagascar,MDG,150,46,46.38,-25.04,29,meters
Aedes albopictus,40661,published,point,-999,1992,New Zealand,NZL,179,174,174.9,-36.96,34,meters
Aedes albopictus,40081,published,point,-999,1992,Fiji,FJI,83,-179,-179.97,-16.82,797,meters
Aedes albopictus,41087,published,point,-999,2004,Tonga,TON,245,-175,-175.2,-21.13,5,meters
Aedes albopictus,41082,published,point,-999,1993,French Polynesia,PYF,87,-149,-149.56,-17.53,70,meters
Aedes albopictus,40945,published,point,-999,2006,Brazil,BRA,37,-56,-56.29,-15.54,215,meters
Aedes albopictus,40925,published,point,-999,2003,Brazil,BRA,37,-55,-55.06,-22.2,395,meters
Aedes albopictus,40702,published,point,-999,1997,Brazil,BRA,37,-54,-54.57,-22.08,314,meters
Aedes albopictus,39881,published,point,-999,1988,Brazil,BRA,37,-52,-52.15,-21.78,266,meters
Aedes albopictus,40983,published,point,-999,2006,Brazil,BRA,37,-51,-51.94,-23.42,543,meters
Aedes albopictus,40905,published,point,-999,2002,Brazil,BRA,37,-50,-50.37,-19.99,479,meters
Aedes albopictus,39970,published,point,-999,,Brazil,BRA,37,-49,-49.52,-20.82,561,meters
Aedes albopictus,41081,published,point,-999,1993,Brazil,BRA,37,-48,-48.96,-21.13,519,meters
Aedes albopictus,40746,published,point,-999,1999,Brazil,BRA,37,-47,-47.84,-24.5,17,meters
Aedes albopictus,40652,published,point,-999,1993,Brazil,BRA,37,-46,-46.17,-19.68,1127,meters
Aedes albopictus,40947,published,point,-999,,Brazil,BRA,37,-45,-45.65,-22.94,648,meters
Aedes albopictus,40516,published,point,-999,1986,Brazil,BRA,37,-44,-44.69,-22.58,549,meters
Aedes albopictus,39937,published,point,-999,2003,Brazil,BRA,37,-43,-43.57,-22.9,24,meters
Aedes albopictus,39999,published,point,-999,,Brazil,BRA,37,-40,-40.58,-19.94,758,meters
Aedes albopictus,40993,published,point,-999,,Madagascar,MDG,150,43,43.66,-23.36,-8,meters
Aedes albopictus,39983,published,point,-999,,Madagascar,MDG,150,44,44.74,-24.7,232,meters
Aedes albopictus,39980,published,point,-999,1986,Madagascar,MDG,150,45,45.59,-20.35,148,meters
Aedes albopictus,39982,published,point,-999,1987,Madagascar,MDG,150,46,46.83,-16.95,55,meters
Aedes albopictus,41154,published,point,-999,2010,Madagascar,MDG,150,47,47.12,-18.32,1213,meters
Aedes albopictus,41268,published,point,-999,2007,Madagascar,MDG,150,48,48.35,-21.22,4,meters
Aedes albopictus,41337,published,point,-999,2007,Madagascar,MDG,150,49,49.42,-18.15,7,meters
Aedes albopictus,40998,published,point,-999,2006,R?union,REU,206,55,55.63,-21.12,1047,meters
Aedes albopictus,41334,published,point,-999,2007,Mauritius,MUS,160,57,57.76,-20.35,33,meters
Aedes albopictus,41335,published,point,-999,2007,Mauritius,MUS,160,63,63.38,-19.72,123,meters
Aedes albopictus,40079,published,point,-999,1991,Fiji,FJI,83,177,177.46,-17.61,27,meters
Aedes albopictus,40078,published,point,-999,1991,Fiji,FJI,83,178,178.43,-18.15,-75,meters
Aedes albopictus,40082,published,point,-999,1992,Fiji,FJI,83,179,179.18,-16.58,223,meters
Aedes albopictus,41006,published,point,-999,2006,Brazil,BRA,37,-46,-46.42,-10.58,508,meters
Aedes albopictus,40840,published,point,-999,,Brazil,BRA,37,-38,-38.5,-12.97,29,meters
