gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
732504995	4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60		Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus (Thomson) 1868					PRESENT		3b5161b7-9831-4444-9822-a60df4df107d													1652230	1652230	PRESERVED_SPECIMEN	Institute of Research for Development	arim	16818				CC_BY_4_0					2023-01-24T16:53:06.622Z		INSTITUTION_MATCH_NONE
4076288818	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/142125975	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.401654	144.181108	4.0						2022-11-12T15:27:00	12	11	2022	1652230	1652230	HUMAN_OBSERVATION	iNaturalist	Observations	142125975		Liam Wolff	2022-11-16T16:17:01	CC_BY_NC_4_0	Adam Edmonds	Adam Edmonds			2023-04-18T12:08:29.303Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4075629771	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/142128342	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.398716	144.182655	4.0						2022-11-12T17:34:00	12	11	2022	1652230	1652230	HUMAN_OBSERVATION	iNaturalist	Observations	142128342		Liam Wolff	2022-11-16T16:04:23	CC_BY_NC_4_0	Adam Edmonds	Adam Edmonds			2023-04-18T12:06:16.840Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4018564639	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/132551551	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus		AU		Western Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-27.662357	114.296516							2022-07-13T19:37:00	13	7	2022	1652230	1652230	HUMAN_OBSERVATION	iNaturalist	Observations	132551551		Karen Weaving	2022-08-28T12:01:48	CC_BY_4_0	Thomas Mesaglio	Thomas Mesaglio			2023-04-18T12:07:25.980Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
4014954696	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/144643203	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.886851	144.993574	8.0						2022-12-17T23:22:00	17	12	2022	1652230	1652230	HUMAN_OBSERVATION	iNaturalist	Observations	144643203		Daniel Kurek	2022-12-19T02:42:06	CC_BY_NC_4_0	Daniel Kurek	Daniel Kurek			2023-04-18T12:01:44.036Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4014866471	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/101597598	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.914722	145.328318							2021-11-21T17:57:06	21	11	2021	1652230	1652230	HUMAN_OBSERVATION	iNaturalist	Observations	101597598		ianrainbow	2021-11-21T06:58:30	CC_BY_NC_4_0	ianrainbow	ianrainbow			2023-04-18T11:57:45.692Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3994312645	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/143744186	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus		AU		South Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-35.286992	139.44725	8.0						2022-12-06T06:53:10	6	12	2022	1652230	1652230	HUMAN_OBSERVATION	iNaturalist	Observations	143744186		Stephen Fricker	2022-12-08T23:48:46	CC_BY_NC_4_0	Stephen	Stephen			2023-04-18T12:07:57.193Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3987361448	d8cd16ba-bb74-4420-821e-083f2bac17c2	KX866192	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Ochlerotatus camptorhynchus (Thomson, 1869)	Ochlerotatus camptorhynchus		AU	Mildura, Victoria		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2014-03-05T00:00:00	5	3	2014	4791026	1652230	PRESERVED_SPECIMEN			VAITC4341		Karen L Brown		CC_BY_4_0		Victorian Arbovirus Disease Control Program			2023-04-14T15:21:08.090Z		CONTINENT_DERIVED_FROM_COUNTRY
3986158644	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/125277776	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.31984	142.138827	351.0						2022-07-08T13:56:55	8	7	2022	1652230	1652230	HUMAN_OBSERVATION	iNaturalist	Observations	125277776		Stephen Fricker	2022-07-08T12:17:37	CC_BY_NC_4_0	cinclosoma	cinclosoma			2023-04-18T11:57:30.925Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3985874473	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/142422992	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes camptorhynchus		SPECIES	Aedes camptorhynchus (Thomson, 1869)	Aedes camptorhynchus		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.259569	145.158624	418.0						2022-11-20T11:54:00	20	11	2022	1652230	1652230	HUMAN_OBSERVATION	iNaturalist	Observations	142422992		Graeme Rigg	2022-11-20T03:51:00	CC_BY_NC_4_0	Graeme Rigg	Graeme Rigg			2023-04-18T12:01:02.332Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
