publication_year,country,site_id,site_name,area_type,control,control_method,month_start,month_end,year_start,year_end,anopheline_source,assi,identification_method1,identification_method2,identification_method3,identification_method4,anopheline_map,sample_method1,n1,sample_method2,n2,sample_method3,n3,sample_method4,n4,citation,pubmed_id,LongitudeF,Longitude,Latitude,elevation,elev_units
,Sudan,,Abu Alnaja,point,,,9,12,2016,2016,Anopheles stephensi,,,DNA sequencing,,,Anopheles stephensi,,,,,,,,,pers com (Weetman),,35,35.3,13.97,579,meters
,Sudan,,Daim Bakur,point,,,9,12,2016,2016,Anopheles stephensi,,,DNA sequencing,,,Anopheles stephensi,,,,,,,,,pers com (Weetman),,35,35.38,14.04,601,meters
2019,Ehiopia,,Awash Sebat Kilo,point,,,8,11,2018,2018,Anopheles stephensi,,m,,,,Anopheles stephensi,,,,,,,,,Balkew et al (2019 - preprint),,40,40.1647,8.9891,911,meters
2019,Ehiopia,,Gewane,point,,,8,11,2018,2018,Anopheles stephensi,,m,,,,Anopheles stephensi,,,,,,,,,Balkew et al (2019 - preprint),,40,40.6468,10.166,600,meters
2019,Ehiopia,,Semera,point,,,8,11,2018,2018,Anopheles stephensi,,m,,,,Anopheles stephensi,,,,,,,,,Balkew et al (2019 - preprint),,41,41.0084,11.7948,424,meters
2019,Ehiopia,,Erer Gota,point,,,8,11,2018,2018,Anopheles stephensi,,m,,,,Anopheles stephensi,,,,,,,,,Balkew et al (2019 - preprint),,41,41.384,9.5562,1099,meters
2019,Ehiopia,,Jigjiga,point,,,8,11,2018,2018,Anopheles stephensi,,m,,,,Anopheles stephensi,,,,,,,,,Balkew et al (2019 - preprint),,42,42.7939,9.3517,1664,meters
2014,Djibouti,,Plateau du H�ron - Djibouti City (ML1),point,,,2,2,2013,2013,Anopheles stephensi,,m,,,,Anopheles stephensi,,,,,,,,,Faulde et al (2014) http://dx.doi.org/10.1016/j.actatropica.2014.06.016,,43,43.151,11.622,-17,meters
2014,Djibouti,,Djibouti animal export and quarantine station  (ML6),point,,,9,9,2012,2012,Anopheles stephensi,,m,dna,,,Anopheles stephensi,,,,,,,,,Faulde et al (2014) http://dx.doi.org/10.1016/j.actatropica.2014.06.016,,43,43.233,11.479,11,meters
2019,Ehiopia,,Kebridehar,point,,,8,11,2018,2018,Anopheles stephensi,,m,,,,Anopheles stephensi,,,,,,,,,Balkew et al (2019 - preprint),,44,44.2771,6.7389,523,meters
2018,Ethiopia,,Kebri Dehar town,point,,,11,12,2016,2016,Anopheles stephensi,,m,dna,,,Anopheles stephensi,,,,,,,,,https://doi.org/10.1016/j.actatropica.2018.09.001 Received 14 May 2018,,44,44.277,6.735,514,meters
2001,India,1000014939,Agatti Island,point,no,,3,3,2000,2000,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Sharma, S.K. and Hamzakoya, K.K. (2001).  <b>Geographical spread of <i>Anopheles stephensi</i>, vector of urban malaria, and <i>Aedes aegypti</i>, vector of dengue/DHF, in the Arabian Sea Islands of Lakshadweep, India.</b> <i>Dengue Bulletin</i>, <b>25</b>:88-91",,72,72.1841,10.84,-72,meters
2001,India,1000014938,Kavaratti Island,point,no,,3,3,2000,2000,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Sharma, S.K. and Hamzakoya, K.K. (2001).  <b>Geographical spread of <i>Anopheles stephensi</i>, vector of urban malaria, and <i>Aedes aegypti</i>, vector of dengue/DHF, in the Arabian Sea Islands of Lakshadweep, India.</b> <i>Dengue Bulletin</i>, <b>25</b>:88-91",,72,72.64,10.569,-192,meters
2011,India,2146281471,Bunder,point,,,,,,,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Vinayachandra, Shwetha, R and Chandrashekar, KR. (2011).  <b>Larvicidal activities of Knema attenuata (Hook. f. & Thomson) Warb. (Myristicaceae) extracts against <i>Aedes albopictus</i> Skuse and <i>Anopheles stephensi</i> Liston.</b> <i>Parasitology Research</i>, <b>109</b>(6):1671-6",21559763,74,74.8333,12.8588,15,meters
2010,India,2146281459,Bejai,point,,,10,11,2006,2006,Anopheles stephensi,,?,,,,Anopheles stephensi,l,,,,,,,,"Tiwari, S, Ghosh, SK, Ojha, VP, Dash, AP and Raghavendra, K. (2010).  <b>Reduced susceptibility to selected synthetic pyrethroids in urban malaria vector <i>Anopheles stephensi</i>: a case study in Mangalore city, South India.</b> <i>Malaria Journal</i>, <b>9</b>:179",20573246,74,74.8462,12.8919,37,meters
2013,India,2146281179,Bharathiar University,point,,,,,,,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Naresh Kumar, A, Murugan, K and Madhiyazhagan, P. (2013).  <b>Integration of botanicals and microbials for management of crop and human pests.</b> <i>Parasitology Research</i>, <b>112</b>(1):313-25",23052771,76,76.876,11.0391,522,meters
2016,India,2146281683,Trivandrum,point,,,8,8,2011,2011,Anopheles stephensi,,m,dna,,,Anopheles stephensi,hri,,ard,,,,,,"Sharma, R, Sharma, A, Kumar, A, Dube, M and Gakhar, SK. (2016).  <b>Population genetic structure of urban malaria vector <i>Anopheles stephensi</i> in India.</b> <i>Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases</i>, <b>39</b>(1):35-44",26777030,76,76.9526,8.4874,17,meters
2013,India,2146281344,Jnanabharathi campus,point,,,,,,,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Shetty, V, Sanil, D and Shetty, NJ. (2013).  <b>Insecticide susceptibility status in three medically important species of mosquitoes, <i>Anopheles stephensi</i>, <i>Aedes aegypti</i> and <i>Culex quinquefasciatus</i>, from Bruhat Bengaluru Mahanagara Palike, Karnataka, India.</b> <i>Pest Management Science</i>, <b>69</b>(2):257-67",22926921,77,77.51,12.9415,840,meters
2015,India,2146281126,Kulathupuzha,point,,,8,7,2013,2014,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Anbalagan, S, Arunprasanna, V, Kannan, M, Dinakaran, S and Krishnan, M. (2015).  <b>Spatio-temporal dynamics of mosquitoes in stream pools of a biosphere reserve of Southern Western Ghats, India.</b> <i>Acta Tropica</i>, <b>152</b>(1):228-36",26434940,77,77.0581,8.9052,158,meters
2015,India,2146281278,Karuppur,point,,,,,,,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Ragavendran, C and Natarajan, D. (2015).  <b>Insecticidal potency of Aspergillus terreus against larvae and pupae of three mosquito species <i>Anopheles stephensi</i>, <i>Culex quinquefasciatus</i>, and <i>Aedes aegypti</i>.</b> <i>Environmental science and pollution research international</i>, <b>22</b>(21):17224-37",26139412,78,78.0992,11.7252,327,meters
2016,India,2146281596,Madurai city,point,,,8,9,2013,2013,Anopheles stephensi,,m,,,,Anopheles stephensi,l,0,,,,,,,"Kamaladhasan, N, Tyagi, BK, Swamy, PS and Chandrasekaran, S. (2016).  <b>Studies on the maintenance of 'self-sustained' mosquito vector population in Vaigai river, South India.</b> <i>Current Science</i>, <b>110</b>(1):57-68",,78,78.1231,9.9261,140,meters
2015,India,2146281322,Pondicherry University,point,,,7,9,2013,2013,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,ro,,hbn,,,,"Selvan, PS, Jebanesan, A and Kumar, CM. (2015).  <b>Diversity and distribution of tree hole mosquitoes in Puducherry Union Territory, India.</b> <b>3</b>(7):531-533",,79,79.8585,12.0159,29,meters
2012,India,2146281117,Melvisharam,point,,,,,,,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Jayaseelan, C, Rahuman, AA, Rajakumar, G, Santhoshkumar, T, Kirthi, AV, Marimuthu, S, Bagavan, A, Kamaraj, C, Zahir, AA, Elango, G, Velayutham, K, Rao, KV, Karthik, L and Raveendran, S. (2012).  <b>Efficacy of plant-mediated synthesized silver nanoparticles against hematophagous parasites.</b> <i>Parasitology Research</i>, <b>111</b>(2):921-33",21638210,79,79.2397,12.9397,240,meters
2016,India,2146281700,Indira Nagar,point,,,4,3,2013,2014,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Thomas, S, Ravishankaran, S, Justin, JA, Asokan, A, Mathai, MT, Valecha, N, Thomas, MB and Eapen, A. (2016).  <b>Overhead tank is the potential breeding habitat of <i>Anopheles stephensi</i> in an urban transmission setting of Chennai, India.</b> <i>Malaria Journal</i>, <b>15</b>(1):274",27169513,80,80.2527,12.9952,7,meters
2015,India,2146279500,Thiruvanmiyur,point,,,,,,,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Aarumugam, P, Krishnamoorthy, N and Gunasekaran, K. (2015).  <b>Deltamethrin induced functional mortality of <i>Anopheles stephensi</i>, the urban malaria vector, in relation to resistance development.</b> <i>Journal of Vector Borne Diseases</i>, <b>52</b>(3):261-264",,80,80.2561,13.0025,7,meters
1999,Myanmar,1000000262,Ohnbinkwin,point,,,3,1,1996,1998,Anopheles stephensi,,m,,,,Anopheles stephensi,mb,1,abn,19,,,,,"Htay-Aung, Minn, S., Thaung, S., Mya, M.M., Than, S.M., Hlaing, T., Soe-Soe, Druilhe, P. and Queuche, F. (1999).  <b>Well-breeding <i>Anopheles</i> <i>dirus</i> and their role in malaria transmission in Myanmar.</b> <i>The Southeast Asian Journal of Tropical Medicine and Public Health</i>, <b>30</b>(3):447-53",10774650,97,97.983,14.617,57,meters
1999,Myanmar,1000000263,Thaechaung,point,,,3,1,1996,1998,Anopheles stephensi,,m,,,,Anopheles stephensi,mb,0,abn,6,,,,,"Htay-Aung, Minn, S., Thaung, S., Mya, M.M., Than, S.M., Hlaing, T., Soe-Soe, Druilhe, P. and Queuche, F. (1999).  <b>Well-breeding <i>Anopheles</i> <i>dirus</i> and their role in malaria transmission in Myanmar.</b> <i>The Southeast Asian Journal of Tropical Medicine and Public Health</i>, <b>30</b>(3):447-53",10774650,97,97.932,14.633,15,meters
1999,Myanmar,1000000260,Eindayaza,point,,,3,1,1996,1998,Anopheles stephensi,,m,,,,Anopheles stephensi,mb,0,abn,3,,,,,"Htay-Aung, Minn, S., Thaung, S., Mya, M.M., Than, S.M., Hlaing, T., Soe-Soe, Druilhe, P. and Queuche, F. (1999).  <b>Well-breeding <i>Anopheles</i> <i>dirus</i> and their role in malaria transmission in Myanmar.</b> <i>The Southeast Asian Journal of Tropical Medicine and Public Health</i>, <b>30</b>(3):447-53",10774650,98,98.066,14.667,61,meters
1999,Myanmar,1000000261,Michaunglaung,point,,,3,1,1996,1998,Anopheles stephensi,,m,,,,Anopheles stephensi,mb,0,abn,0,,,,,"Htay-Aung, Minn, S., Thaung, S., Mya, M.M., Than, S.M., Hlaing, T., Soe-Soe, Druilhe, P. and Queuche, F. (1999).  <b>Well-breeding <i>Anopheles</i> <i>dirus</i> and their role in malaria transmission in Myanmar.</b> <i>The Southeast Asian Journal of Tropical Medicine and Public Health</i>, <b>30</b>(3):447-53",10774650,98,98.15,14.668,52,meters
2008,Thailand,1000008779,Phailom temple,point,,,8,8,2006,2006,Anopheles stephensi,,m,,,,Anopheles stephensi,co2,0,,,,,,,"Tiawsirisup, S., Sripatranusorn, S., Oraveerakul, K. and Nuchprayoon, S. (2008).  <b>Distribution of mosquito (Diptera: Culicidae) species and <i>Wolbachia</i> (Rickettsiales: Rickettsiaceae) infections during the bird immigration season in Pathumthani province, central Thailand.</b> <i>Parasitology Research</i>, <b>102</b>(4):731-5",18066693,100,100.5263,14.243,4,meters
,Sudan,,Tokar,point,,,10,2,2016,2018,Anopheles stephensi,,,DNA sequencing,,,Anopheles stephensi,,,,,,,,,pers com (Weetman),,37,37.72,18.42,22,meters
2011,Saudi Arabia,2146280547,Makkah,point,,,,,2005,2006,Anopheles stephensi,,m,,,,Anopheles stephensi,l,5,,,,,,,"Al Ahmad, A.M., Sallam, M.F., Khuriji, M.A., Kheir, S.M. and Azari-Hamidian, S. (2011).  <b>Checklist and pictorial key to fourth-instar larvae of mosquitoes (Diptera: Culicidae) of Saudi Arabia.</b> <i>Journal of Medical Entomology</i>, <b>48</b>(4):717-737",,39,39.7167,21.45,273,meters
2011,Saudi Arabia,2146280551,Taif,point,,,,,2005,2006,Anopheles stephensi,,m,,,,Anopheles stephensi,l,3,,,,,,,"Al Ahmad, A.M., Sallam, M.F., Khuriji, M.A., Kheir, S.M. and Azari-Hamidian, S. (2011).  <b>Checklist and pictorial key to fourth-instar larvae of mosquitoes (Diptera: Culicidae) of Saudi Arabia.</b> <i>Journal of Medical Entomology</i>, <b>48</b>(4):717-737",,40,40.4,21.2667,1695,meters
2011,Saudi Arabia,2146280538,Abha,point,,,,,2005,2006,Anopheles stephensi,,m,,,,Anopheles stephensi,l,1,,,,,,,"Al Ahmad, A.M., Sallam, M.F., Khuriji, M.A., Kheir, S.M. and Azari-Hamidian, S. (2011).  <b>Checklist and pictorial key to fourth-instar larvae of mosquitoes (Diptera: Culicidae) of Saudi Arabia.</b> <i>Journal of Medical Entomology</i>, <b>48</b>(4):717-737",,42,42.5,18.2167,2193,meters
2011,Saudi Arabia,2146280544,Dwadmi,point,,,,,2005,2006,Anopheles stephensi,,m,,,,Anopheles stephensi,l,0,,,,,,,"Al Ahmad, A.M., Sallam, M.F., Khuriji, M.A., Kheir, S.M. and Azari-Hamidian, S. (2011).  <b>Checklist and pictorial key to fourth-instar larvae of mosquitoes (Diptera: Culicidae) of Saudi Arabia.</b> <i>Journal of Medical Entomology</i>, <b>48</b>(4):717-737",,44,44.4167,24.5166,962,meters
2011,Saudi Arabia,2146280552,W. Al Dawasir,point,,,,,2005,2006,Anopheles stephensi,,m,,,,Anopheles stephensi,l,12,,,,,,,"Al Ahmad, A.M., Sallam, M.F., Khuriji, M.A., Kheir, S.M. and Azari-Hamidian, S. (2011).  <b>Checklist and pictorial key to fourth-instar larvae of mosquitoes (Diptera: Culicidae) of Saudi Arabia.</b> <i>Journal of Medical Entomology</i>, <b>48</b>(4):717-737",,45,45.7174,20.482,592,meters
2011,Saudi Arabia,2146280549,Riyadh,point,,,,,2005,2006,Anopheles stephensi,,m,,,,Anopheles stephensi,l,0,,,,,,,"Al Ahmad, A.M., Sallam, M.F., Khuriji, M.A., Kheir, S.M. and Azari-Hamidian, S. (2011).  <b>Checklist and pictorial key to fourth-instar larvae of mosquitoes (Diptera: Culicidae) of Saudi Arabia.</b> <i>Journal of Medical Entomology</i>, <b>48</b>(4):717-737",,46,46.7,24.5833,591,meters
2014,Pakistan,2146280710,Orangi,point,,,1,12,,,Anopheles stephensi,,m,,,,Anopheles stephensi,hri,1,,,,,,,"Shaikh, S, Kazmi, SJH and Qureshi, S. (2014).  <b>Monitoring the diversity of malaria and dengue vector in Karachi: studying variation of genera
and subgenera of mosquitoes under different
ecological conditions.</b> <b>3</b>(1):12",,66,66.9902,24.9506,67,meters
2014,Pakistan,2146280708,North Karachi,point,,,1,12,,,Anopheles stephensi,,m,,,,Anopheles stephensi,hri,1,,,,,,,"Shaikh, S, Kazmi, SJH and Qureshi, S. (2014).  <b>Monitoring the diversity of malaria and dengue vector in Karachi: studying variation of genera
and subgenera of mosquitoes under different
ecological conditions.</b> <b>3</b>(1):12",,67,67.0647,24.98,54,meters
2011,India,2146281452,Bhuj,point,,,,,2005,2007,Anopheles stephensi,,?,,,,Anopheles stephensi,l,,?,,,,,,"Tikar, SN, Mendki, MJ, Sharma, AK, Sukumaran, D, Veer, V, Prakash, S and Parashar, BD. (2011).  <b>Resistance status of the malaria vector mosquitoes, <i>Anopheles stephensi</i> and <i>Anopheles subpictus</i> towards adulticides and larvicides in arid and semi-arid areas of India.</b> <i>Journal of insect science (Online)</i>, <b>11</b>:85",21870971,69,69.8166,23.2502,120,meters
2011,India,2146281451,Jamnagar,point,,,,,2005,2007,Anopheles stephensi,,?,,,,Anopheles stephensi,l,,?,,,,,,"Tikar, SN, Mendki, MJ, Sharma, AK, Sukumaran, D, Veer, V, Prakash, S and Parashar, BD. (2011).  <b>Resistance status of the malaria vector mosquitoes, <i>Anopheles stephensi</i> and <i>Anopheles subpictus</i> towards adulticides and larvicides in arid and semi-arid areas of India.</b> <i>Journal of insect science (Online)</i>, <b>11</b>:85",21870971,70,70.1167,22.45,21,meters
2011,India,2146281114,Kanjari,point,,,,,,,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Haq, S and Yadav, RS. (2011).  <b>Geographical distribution and evaluation of mosquito larvivorous potential of <i>Aphanius dispar</i> (Rüppell), a native fish of Gujarat, India.</b> <i>Journal of Vector Borne Diseases</i>, <b>48</b>(4):236-40",22297287,72,72.9182,22.6124,38,meters
2004,India,1000005732,"Calangute, Panaji and Porvorim",point,,,3,7,1998,1999,Anopheles stephensi,,?,,,,Anopheles stephensi,hri,,ro,,,,,,"Sumodan, P.K., Kumar, A. and Yadav, R.S. (2004).  <b>Resting behavior and malaria vector incrimination of <i>Anopheles stephensi</i> in Goa, India.</b> <i>Journal of the American Mosquito Control Association</i>, <b>20</b>(3):317-8",15532935,73,73.805,15.509,27,meters
2012,India,2146281247,Jalgaon,point,,,,,,,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Patil, CD, Patil, SV, Borase, HP, Salunke, BK and Salunkhe, RB. (2012).  <b>Larvicidal activity of silver nanoparticles synthesized using Plumeria rubra plant latex against <i>Aedes aegypti</i> and <i>Anopheles stephensi</i>.</b> <i>Parasitology Research</i>, <b>110</b>(5):1815-22",22089086,76,76.5342,21.0483,307,meters
1992,India,1000006239,Vidisha town: Indira Complex pool & Railway over Bridge Cement Tank,point,,,10,9,1987,1988,Anopheles stephensi,,?,,,,Anopheles stephensi,l,,,,,,,,"Saxena, O.P., Kumar, M.L., Saxena, A., Sharma, M.C. and Saxena, R.C. (1992).  <b>Study on the physico-chemical characteristics of breeding grounds in relation to the population density of <i>Anopheles stephensi</i>.</b> <i>Journal of Communicable Diseases</i>, <b>24</b>(2):109-15",1344168,77,77.805,23.524,423,meters
2016,India,2146281682,Hyderabad,point,,,4,4,2012,2012,Anopheles stephensi,,m,dna,,,Anopheles stephensi,hri,,ard,,,,,,"Sharma, R, Sharma, A, Kumar, A, Dube, M and Gakhar, SK. (2016).  <b>Population genetic structure of urban malaria vector <i>Anopheles stephensi</i> in India.</b> <i>Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases</i>, <b>39</b>(1):35-44",26777030,78,78.4886,17.3878,503,meters
2014,India,2146281325,Jabalpur,point,,,,,,,Anopheles stephensi,,m,dna,,,Anopheles stephensi,?,,,,,,,,"Sharma, A, Deshmukh, A, Sharma, R, Kumar, A, Mukherjee, S, Chandra, GC and Gakhar, SK. (2014).  <b>Population genetic structure of malaria vector <i>Anopheles stephensi</i> using mitochondrial Cytochrome oxidase II gene in Indian populations.</b> <b>52</b>(10):996-1002",,79,79.946,23.168,408,meters
1989,India,30079,Bizadandi block,wide area,yes,ls,7,10,1987,1987,Anopheles stephensi,,m,,,,Anopheles stephensi,l,,,,,,,,"Singh, N., Singh, O.P. and Soan, V. (1989).  <b>Mosquito breeding in rice fields and its role in malaria transmission in Mandla district, M.P.</b> <i>Indian Journal of Malariology</i>, <b>26</b>(4):191-8",2576868,80,80.141,22.936,533,meters
2016,India,2146281542,Raipur city,point,,,,,2012,2012,Anopheles stephensi,,m,dna,,,Anopheles stephensi,l,,,,,,,,"Dykes, CL, Das, MK, Eapen, A, Batra, CP, Ghosh, SK, Vijayan, VA, Mishra, S and Singh, OP. (2016).  <b>Knockdown Resistance (kdr) Mutations in Indian <i>Anopheles stephensi</i> (Diptera: Culicidae) Populations.</b> <i>Journal of Medical Entomology</i>, <b>53</b>(2):315-20",26747858,81,81.63,21.25,295,meters
2016,India,2146281543,Karsidih,point,,,,,2012,2012,Anopheles stephensi,,m,dna,,,Anopheles stephensi,hri,,ard,,,,,,"Dykes, CL, Das, MK, Eapen, A, Batra, CP, Ghosh, SK, Vijayan, VA, Mishra, S and Singh, OP. (2016).  <b>Knockdown Resistance (kdr) Mutations in Indian <i>Anopheles stephensi</i> (Diptera: Culicidae) Populations.</b> <i>Journal of Medical Entomology</i>, <b>53</b>(2):315-20",26747858,85,85.33,23.35,638,meters
