gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
732524593,4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi Liston 1901,,,,,PRESENT,,3b5161b7-9831-4444-9822-a60df4df107d,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Institute of Research for Development,arim,21165,,,,CC_BY_4_0,,,,,2023-01-24T16:53:03.904Z,,INSTITUTION_MATCH_NONE
732524591,4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi Liston 1901,,,,,PRESENT,,3b5161b7-9831-4444-9822-a60df4df107d,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Institute of Research for Development,arim,14858,,,,CC_BY_4_0,,,,,2023-01-24T16:53:03.883Z,,INSTITUTION_MATCH_NONE
732524589,4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi Liston 1901,,FR,,,PRESENT,,3b5161b7-9831-4444-9822-a60df4df107d,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Institute of Research for Development,arim,13552,,,,CC_BY_4_0,,,,,2023-01-24T16:53:03.927Z,,INSTITUTION_MATCH_NONE
732524587,4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi Liston 1901,,,,,PRESENT,,3b5161b7-9831-4444-9822-a60df4df107d,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Institute of Research for Development,arim,12283,,,,CC_BY_4_0,,,,,2023-01-24T16:53:03.927Z,,INSTITUTION_MATCH_NONE
732524585,4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi Liston 1901,,,,,PRESENT,,3b5161b7-9831-4444-9822-a60df4df107d,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Institute of Research for Development,arim,7377,,,,CC_BY_4_0,,,,,2023-01-24T16:53:03.927Z,,INSTITUTION_MATCH_NONE
732524583,4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi Liston 1901,,,,,PRESENT,,3b5161b7-9831-4444-9822-a60df4df107d,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Institute of Research for Development,arim,7376,,,,CC_BY_4_0,,,,,2023-01-24T16:53:03.931Z,,INSTITUTION_MATCH_NONE
4079547370,0ec927cf-325a-4d63-9499-d721c734463a,7e27d6fa-633b-4b36-8a8b-d1f313b3cccf,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles (Cellia) stephensi,"Liston, 1901",TH,Bangkok,,PRESENT,,493fe050-055d-11d8-b84f-b8a03c50a862,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,LACM,ENT,LACM ENT 644095,,,,CC0_1_0,,A.D. Hess,,Native,2023-04-18T00:05:12.382Z,,CONTINENT_DERIVED_FROM_COUNTRY
4079545933,0ec927cf-325a-4d63-9499-d721c734463a,7144f498-ecd4-46e0-8199-6c285ca5a63c,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles (Cellia) stephensi,"Liston, 1901",TH,Bangkok,,PRESENT,,493fe050-055d-11d8-b84f-b8a03c50a862,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,LACM,ENT,LACM ENT 644094,,,,CC0_1_0,,A.D. Hess,,Native,2023-04-18T00:05:11.561Z,,CONTINENT_DERIVED_FROM_COUNTRY
4079540957,0ec927cf-325a-4d63-9499-d721c734463a,6a4ab768-61d4-4081-b458-1df865972f26,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles (Cellia) stephensi,"Liston, 1901",TH,Bangkok,,PRESENT,,493fe050-055d-11d8-b84f-b8a03c50a862,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,LACM,ENT,LACM ENT 644093,,,,CC0_1_0,,A.D. Hess,,Native,2023-04-18T00:05:17.012Z,,CONTINENT_DERIVED_FROM_COUNTRY
4079521406,0ec927cf-325a-4d63-9499-d721c734463a,04c7c25c-9e56-473a-8177-6d017681bf21,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles (Cellia) stephensi,"Liston, 1901",TH,Bangkok,,PRESENT,,493fe050-055d-11d8-b84f-b8a03c50a862,,,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,LACM,ENT,LACM ENT 644092,,,,CC0_1_0,,A.D. Hess,,Native,2023-04-18T00:05:13.867Z,,CONTINENT_DERIVED_FROM_COUNTRY
4066964790,c4dec041-3704-4788-abd8-b4064d25442e,9dd2e106-153b-44e0-9e27-23fced3d1e2b,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi,,US,,South Carolina,PRESENT,1,9bc961fb-23ad-49cd-829e-89f157a2d1d8,32.77,-79.98,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Clemson University Arthropod Collection,CUAC,CUAC000085173,,,,CC0_1_0,,,,,2023-04-12T00:07:18.110Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
4066964789,c4dec041-3704-4788-abd8-b4064d25442e,08c4c361-1b97-474d-9e92-fba309d01244,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi,,US,,South Carolina,PRESENT,1,9bc961fb-23ad-49cd-829e-89f157a2d1d8,32.77,-79.98,,,,,,,10/1/81 0:00,1,10,1981,1650441,1650441,PRESERVED_SPECIMEN,Clemson University Arthropod Collection,CUAC,CUAC000085170,,,,CC0_1_0,,,,,2023-04-12T00:07:18.132Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
4066964788,c4dec041-3704-4788-abd8-b4064d25442e,98060171-dae4-4cac-b247-5b2c154cb541,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi,,US,,South Carolina,PRESENT,1,9bc961fb-23ad-49cd-829e-89f157a2d1d8,32.77,-79.98,,,,,,,8/1/81 0:00,1,8,1981,1650441,1650441,PRESERVED_SPECIMEN,Clemson University Arthropod Collection,CUAC,CUAC000085162,,,,CC0_1_0,,,,,2023-04-12T00:07:16.278Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
4066963794,c4dec041-3704-4788-abd8-b4064d25442e,fe8de1a0-33cf-4f15-b63c-9a27f20d29e8,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi,,US,,South Carolina,PRESENT,1,9bc961fb-23ad-49cd-829e-89f157a2d1d8,32.77,-79.98,,,,,,,8/1/81 0:00,1,8,1981,1650441,1650441,PRESERVED_SPECIMEN,Clemson University Arthropod Collection,CUAC,CUAC000085165,,,,CC0_1_0,,,,,2023-04-12T00:07:16.278Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
4066962791,c4dec041-3704-4788-abd8-b4064d25442e,8b9e9af5-35cc-4d3f-a0ea-9094b7971693,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi,,US,,South Carolina,PRESENT,1,9bc961fb-23ad-49cd-829e-89f157a2d1d8,32.77,-79.98,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Clemson University Arthropod Collection,CUAC,CUAC000085174,,,,CC0_1_0,,,,,2023-04-12T00:07:18.178Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
4066962790,c4dec041-3704-4788-abd8-b4064d25442e,625d3ada-9bb9-47ef-bb86-175c8156a39a,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi,,US,,South Carolina,PRESENT,1,9bc961fb-23ad-49cd-829e-89f157a2d1d8,32.77,-79.98,,,,,,,,,,,1650441,1650441,PRESERVED_SPECIMEN,Clemson University Arthropod Collection,CUAC,CUAC000085171,,,,CC0_1_0,,,,,2023-04-12T00:07:18.191Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
4066962789,c4dec041-3704-4788-abd8-b4064d25442e,9b84d372-b68e-4a29-84f2-99c15eff5ffb,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles stephensi,,SPECIES,"Anopheles stephensi Liston, 1901",Anopheles stephensi,,US,,South Carolina,PRESENT,1,9bc961fb-23ad-49cd-829e-89f157a2d1d8,32.77,-79.98,,,,,,,8/1/81 0:00,1,8,1981,1650441,1650441,PRESERVED_SPECIMEN,Clemson University Arthropod Collection,CUAC,CUAC000085163,,,,CC0_1_0,,,,,2023-04-12T00:07:16.278Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
