gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
732525858,4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903",Culex theileri Theobald 1903,,MG,,fianarantsoa,PRESENT,NA,3b5161b7-9831-4444-9822-a60df4df107d,-23.349769,47.604728,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1653064,1653064,PRESERVED_SPECIMEN,Institute of Research for Development,arim,19767,NA,,NA,CC_BY_4_0,NA,,NA,NA,2023-01-24T16:53:03.838Z,NA,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE
4069455448,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050160,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"Tenerife, P. de San Juan",Santa Cruz de Tenerife,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.182,-16.817,4000,NA,NA,NA,NA,NA,1949-01-16T00:00:00,16,1,1949,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93862,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,Lindberg,NA,NA,2023-05-30T22:00:47.886Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
4069455435,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050156,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"Tenerife, P. de San Juan",Santa Cruz de Tenerife,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.182,-16.817,4000,NA,NA,NA,NA,NA,1949-01-16T00:00:00,16,1,1949,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93861,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,Lindberg,NA,NA,2023-05-30T22:00:47.883Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
4069455431,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050152,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"Tenerife, P. de San Juan",Santa Cruz de Tenerife,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.182,-16.817,4000,NA,NA,NA,NA,NA,1949-01-16T00:00:00,16,1,1949,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93860,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,Lindberg,NA,NA,2023-05-30T22:00:47.882Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
4069455384,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050124,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"Tenerife, P. de San Juan",Santa Cruz de Tenerife,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.182,-16.817,4000,NA,NA,NA,NA,NA,1949-01-16T00:00:00,16,1,1949,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93817,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,Lindberg,NA,NA,2023-05-30T22:00:47.804Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
4069455380,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050128,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"Tenerife,  Puerto de la Cruz",Santa Cruz de Tenerife,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.14,-16.54,4000,NA,NA,NA,NA,NA,1968-12-11T00:00:00,11,12,1968,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93818,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,"Koponen, Martti",NA,NA,2023-05-30T22:00:47.804Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
4069455338,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050148,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"Tenerife, P. de San Juan",Santa Cruz de Tenerife,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.182,-16.817,4000,NA,NA,NA,NA,NA,1949-01-16T00:00:00,16,1,1949,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93856,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,Lindberg,NA,NA,2023-05-30T22:00:47.797Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
4069455334,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050140,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"La Palma, El Paso",Santa Cruz de Tenerife,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.66,-17.88,2000,NA,NA,NA,NA,NA,1931-01-01T00:00:00,1,1,1931,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93844,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,"Storå, Ragnar",NA,NA,2023-05-30T22:00:47.798Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
4069455319,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050136,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"Gran Canaria, Tafira",Province of Las Palmas,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.047,-15.466,2000,NA,NA,NA,NA,NA,1931-01-01T00:00:00,1,1,1931,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93831,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,"Storå, Ragnar",NA,NA,2023-05-30T22:00:47.788Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
4069455309,8e9766e2-ff75-45fd-a9c0-efec3a161ca6,http://id.luomus.fi/MY.14050132,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex theileri,NA,SPECIES,"Culex theileri Theobald, 1903","Culex theileri Theobald, 1903",,ES,"Tenerife, P. de San Juan",Santa Cruz de Tenerife,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,28.182,-16.817,4000,NA,NA,NA,NA,NA,1949-01-16T00:00:00,16,1,1949,1653064,1653064,OCCURRENCE,,,http://id.luomus.fi/GV.93823,NA,"Utrio, Pirkka",NA,CC_BY_4_0,NA,Lindberg,NA,NA,2023-05-30T22:00:47.787Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
