gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,LongitudeF,Longitude,Latitude,elev_units
4050507386,f553f8f9-b147-4f09-86e5-0d1ce1a91ce0,c3687349-6607-431c-9890-115fa48626ea,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889",,WF,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,111214,,-2113,,,,,,,,1652660,1652660,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2023-03-08T14:36:38.286Z,,COUNTRY_MISMATCH,-177,-177.08021,-13.75548,meters
177214723,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,WS,Asau:,No data,PRESENT,,5ab24120-de25-11dc-9a41-b8a03c50a862,,,-36,,,,1968-12-01T00:00:00Z,,12,1968,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,20494,,,,CC_BY_4_0,,No data,,,2023-05-23T02:57:15.634Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,-172,-172.6167,-13.45,meters
177214700,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,WS,Upolu:Mulifanua,No data,PRESENT,,5ab24120-de25-11dc-9a41-b8a03c50a862,,,44,,,,1956-01-01T00:00:00Z,,1,1956,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,30776,,,,CC_BY_4_0,,No data,,,2023-05-23T02:57:12.759Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,-171,-171.9833,-13.8333,meters
3091657318,14f3151a-e95d-493c-a40d-d9938ef62954,urn:catalog:CAS:ENT:8478476,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",AS,Tutuila,,PRESENT,1,66522820-055c-11d8-b84e-b8a03c50a862,21129,,112,,,,1945-01-04T00:00:00Z,4,1,1945,1652660,1652660,PRESERVED_SPECIMEN,CASC,CASENT,CASENT8478476,,J.N. Belkin,,CC0_1_0,,,,,2023-05-22T00:06:21.752Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,-170,-170.732529,-14.325755,meters
4017653735,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1599904,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,"North East Soumba, Kambera",East Nusa Tenggara,PRESENT,,396d5f30-dea9-11db-8ab4-b8a03c50a862,11255,,97,,,,,,,,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1599904,,,,CC0_1_0,Naturalis Biodiversity Center,Dr. Dammerman Buitenzorg,,,2023-05-24T02:33:06.281Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,120,120.262265,-9.702333,meters
4017641930,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1592245,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,,East Nusa Tenggara,PRESENT,,396d5f30-dea9-11db-8ab4-b8a03c50a862,46113,,1030,,,,,,,,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1592245,,,,CC0_1_0,Naturalis Biodiversity Center,Prof. Rodenwaldt,,,2023-05-24T02:33:13.243Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,124,124.740476,-8.291119,meters
177213457,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Kalumburu:,Western Australia,PRESENT,,5ab24120-de25-11dc-9a41-b8a03c50a862,,,16,,,,1953-07-01T00:00:00Z,,7,1953,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,30570,,,,CC_BY_4_0,,No data,,,2023-05-23T02:57:17.696Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,126,126.63333,-14.3,meters
177213473,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Port Keats:,Northern Territory,PRESENT,,5ab24120-de25-11dc-9a41-b8a03c50a862,,,0,,,,1971-01-01T00:00:00Z,,1,1971,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,30715,,,,CC_BY_4_0,,No data,,,2023-05-23T02:57:15.625Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,129,129.55,-14.1,meters
177213420,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Darwin:Marrara swamp,Northern Territory,PRESENT,,5ab24120-de25-11dc-9a41-b8a03c50a862,,,33,,,,1950-05-01T00:00:00Z,,5,1950,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,30678,,,,CC_BY_4_0,,No data,,,2023-05-23T02:57:17.696Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,130,130.91667,-12.41667,meters
2446092900,beed1b50-8c73-11dc-aaed-b8a03c50a862,fbe2e4dc-42d1-4092-b0a7-d85517ddb8f3,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex (Culex) annulirostris,"Skuse, 1889",AU,"Margaret River, Marrakai Stn.",Northern Territory,PRESENT,1,64bd66c1-e7d3-48d0-9462-488729aed122,10000,,9,,,,1929-07-28T00:00:00Z,28,7,1929,1652660,1652660,PRESERVED_SPECIMEN,CSIRO,ANIC,29-058104-321,,"Lee,D.J.",,CC_BY_4_0,,"Mackerras;, I.M.;Campbell;, T.G.",,,2023-05-22T16:51:55.523Z,,CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,131,131.366667,-12.783333,meters
