Species,Trait,HighestTrait,CTmax_point,CTmax_lower,CTmax_upper,CTmin_point,CTmin_lower,CTmin_upper,Topt_point,Topt_lower,Topt_upper,Diurnal,Nocturnal,Crepuscular,Source
Aedes_aegypti,AdultLifespan,BitingRate,37.45,34.9,40,10.35,5.1,14.5,23.9,21.7,25.8,1,0,1,Mordecai et al. 2019
Aedes_albopictus,AdultLifespan,MDR,31.4,29.5,34,13.5,10.4,16,22.5,21.1,23.7,1,0,1,Mordecai et al. 2019
Aedes_sierrensis_EUG,AdultLifespan,Fecundity,31.91,29.43,34.41,0.54,0,3.32,16.23,15,19,,,,Couper et al. 2023
Aedes_sierrensis_HOP,AdultLifespan,Fecundity,31.96,29.61,34.48,0.21,0,1.21,16.09,15,17.5,,,,Couper et al. 2023
Aedes_sierrensis_JRA,AdultLifespan,Fecundity,32.17,29.52,34.83,0.17,0,0.86,16.17,15,18,,,,Couper et al. 2023
Aedes_sierrensis_MAR1,AdultLifespan,Fecundity,30.06,27.78,32.71,0.13,0,0.68,15.09,14,16.5,,,,Couper et al. 2023
Aedes_sierrensis_MAR2,AdultLifespan,Fecundity,31.67,29.31,34.08,0.32,0,1.91,15.99,15,17.5,,,,Couper et al. 2023
Aedes_sierrensis_PAR,AdultLifespan,Fecundity,31.07,28.72,33.59,0.1,0,0.43,15.59,14.5,17,,,,Couper et al. 2023
Aedes_sierrensis_PLA,AdultLifespan,LarvalDevRate,30.48,28.26,32.79,0.22,0,0.77,15.35,14.5,16.5,,,,Couper et al. 2023
Aedes_sierrensis_POW,AdultLifespan,LarvalDevRate,32.9,30.42,35.37,0.1,0,0.61,16.5,15.5,18,,,,Couper et al. 2023
Aedes_sierrensis_SB,AdultLifespan,Fecundity,31.66,29.68,33.95,0.12,0,0.64,15.89,15,17,,,,Couper et al. 2023
Aedes_sierrensis_WAW,AdultLifespan,Fecundity,32.07,29.83,34.39,0.11,0,0.45,16.09,15,17.5,,,,Couper et al. 2023
Aedes_taeniorhynchus,AdultLifespan,AdultLifespan,42.7,34.5,48.5,NA,NA,NA,NA,NA,NA,,,,Villena et al. 2022
Anopheles_gambiae,AdultLifespan,BitingRate,38.85,37.99,39.7,8.45,7.7,9.19,22.3,21.7,22.89,0,1,1,Villena et al. 2022
Anopheles_stephensi,AdultLifespan,BitingRate,39.1,38.26,39.94,6.95,6.27,7.63,21.5,20.37,21.73,0,1,1,Villena et al. 2022
Culex_annulirostris,AdultLifespan,MDR,33.6,33,34.5,13.1,10.6,14.6,23.4,22.4,24,,,,Mordecai et al. 2019
Aedes_aegypti,BitingRate,BitingRate,40,40,40.4,13.8,7.7,17.1,33.8,33,34.3,1,0,1,Mordecai et al. 2019
Aedes_albopictus,BitingRate,MDR,38.1,36.8,40.9,10.4,5.4,14.4,31.8,30.8,33.7,1,0,1,Mordecai et al. 2019
Anopheles_gambiae,BitingRate,BitingRate,43.55,43.24,43.86,34.6,33.89,35.31,16.95,16.14,17.76,0,1,1,Villena et al. 2022
Anopheles_stephensi,BitingRate,BitingRate,42.25,41.82,42.68,19.1,18.17,20.03,36.05,35.56,36.53,0,1,1,Villena et al. 2022
Culex_annulirostris,BitingRate,MDR,39.1,38,40,3.8,0.7,8.5,31.8,30.8,32.6,,,,Mordecai et al. 2019
Culex_pipiens,BitingRate,EggViability,39.6,37.9,40.6,9.4,2.8,13.4,32.7,31.3,33.6,,,,Mordecai et al. 2019
Culex_quinquefasciatus,BitingRate,BitingRate,39.3,38,40.8,3.1,0.1,10.9,31.9,30.6,33.3,0,1,1,Mordecai et al. 2019
Culex_tarsalis,BitingRate,ImmatureSurvival,32,30.6,41.7,2.3,0.1,9.4,25.9,24.8,33.9,,,,Mordecai et al. 2019
Culiseta_melanura,BitingRate,MDR,31.8,31,33.4,7.8,5.5,11.4,26.4,25.7,27.9,,,,Mordecai et al. 2019
Culex_annulirostris,EggViability,MDR,38,33.7,42,14.5,10.6,17.2,26.2,22.6,27.8,,,,Mordecai et al. 2019
Culex_pipiens,EggViability,EggViability,42.6,39.7,48.3,3.2,0.5,7.1,23,20.7,26.3,,,,Mordecai et al. 2019
Culex_quinquefasciatus,EggViability,BitingRate,38,37.2,38.7,13.6,9.3,16.8,32.1,31.3,32.7,0,1,1,Mordecai et al. 2019
Culex_theileri,EggViability,EggViability,45.4,42.4,49,5.5,2.6,8,23.6,18.2,27,,,,Mordecai et al. 2019
Aedes_aegypti,Fecundity,BitingRate,34.4,34,36.2,14.7,7.7,20.4,29.6,28.5,31.1,1,0,1,Mordecai et al. 2019
Aedes_albopictus,Fecundity,MDR,35.6,35.1,36.9,7.9,3.4,13.3,29.4,28.7,30.6,1,0,1,Mordecai et al. 2019
Aedes_sierrensis_EUG,Fecundity,Fecundity,35.4,33.24,37.63,0.36,0,2.24,17.88,16.5,19.5,,,,Couper et al. 2023
Aedes_sierrensis_HOP,Fecundity,Fecundity,34.61,32.82,36.63,0.14,0,0.85,17.38,16.5,18.5,,,,Couper et al. 2023
Aedes_sierrensis_JRA,Fecundity,Fecundity,35.63,33,38.14,0.03,0,0.13,17.83,16.5,19,,,,Couper et al. 2023
Aedes_sierrensis_MAR1,Fecundity,Fecundity,34.53,32.47,36.64,0.11,0,0.74,17.32,16.5,18.5,,,,Couper et al. 2023
Aedes_sierrensis_MAR2,Fecundity,Fecundity,35.45,33.39,37.6,0.14,0,0.78,17.79,17,19,,,,Couper et al. 2023
Aedes_sierrensis_PAR,Fecundity,Fecundity,34.13,31.71,36.49,0.01,0,0.04,17.07,16,18.5,,,,Couper et al. 2023
